model,target,return_series,n_months,alpha_monthly,alpha_annualized,alpha_t_hac6,r2,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml,beta_umd,t_umd,beta_rmw,t_rmw,beta_cma,t_cma
lgbm_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.007419508514485064,0.08903410217382077,5.020096691862492,0.16304579366629646,-0.050512395783710334,-0.9375499088526993,-0.13263947292209846,-1.7114738408796986,-0.14732526229581175,-1.1653906046403266,-0.02953403241455788,-0.7415405191657494,0.0038402083696052833,0.03496819814746624,0.36736411040015265,2.0820003094331248
lgbm_all,fwd_ret_1m,net_return_25bps,155,0.004343242824060116,0.05211891388872139,2.9679359498384477,0.16089705488180928,-0.0475663931266806,-0.8825343250796388,-0.13400974013678446,-1.7133900815567247,-0.1449328876950411,-1.1507160277212707,-0.028223551159016497,-0.710782189284235,0.0010039025234571536,0.00910290101645764,0.36620458249943044,2.0817192953536523
lgbm_all,fwd_ret_3m,gross_dollar_neutral_return,153,0.013812556673656967,0.05525022669462787,4.178663462453379,0.06835526162541139,0.03360638341653906,0.6319413823118325,-0.15978633922619906,-1.3471034643742816,-0.08109204968813533,-0.5987272921567229,0.05248297700959386,0.960539032936063,-0.11918505097817945,-0.7374632941211398,0.3449892291102346,1.5845742987214801
lgbm_all,fwd_ret_3m,net_return_25bps,153,0.011410469841916572,0.04564187936766629,3.455919701155523,0.06810379812391021,0.03627097531344062,0.6848450359805572,-0.16134998580537924,-1.351836472907886,-0.07806351441568586,-0.5785244228885885,0.05406721431317107,0.9925538152162566,-0.12177939807648958,-0.751512806592665,0.34150259768671243,1.5757932730608224
lgbm_network_pressure,fwd_ret_1m,gross_dollar_neutral_return,155,0.0019150226527699277,0.022980271833239134,1.3763777802431023,0.11334761531606685,-0.001501564134031054,-0.03453016588474417,-0.06563398487453719,-1.1039056084965666,-0.16889460299588038,-1.41034535962326,0.01621201935579652,0.3589264973706267,-0.05362896079323831,-0.7468311880869007,0.2626939057125057,1.6535613995401681
lgbm_network_pressure,fwd_ret_1m,net_return_25bps,155,-0.0011090278697579033,-0.013308334437094841,-0.8014076359915742,0.11069483366283617,0.00028892535243635505,0.006581527084260395,-0.07044074201906193,-1.1880259943530604,-0.16367529264642036,-1.3852546492182598,0.015437427811042247,0.3410966663705979,-0.058880350639370076,-0.8293700615982594,0.2562483768945831,1.6271814135041125
lgbm_network_pressure,fwd_ret_3m,gross_dollar_neutral_return,153,0.0021544282437732246,0.008617712975092898,0.4665324871869035,0.08161928345283309,0.018001693206618236,0.24000451484113883,-0.022247812843185232,-0.194861280983262,-0.2855671494656543,-1.3116424110105336,0.004706568802750028,0.05814969985741774,-0.26196112351714257,-2.4002867437516815,0.4883009740433385,1.759110009249035
lgbm_network_pressure,fwd_ret_3m,net_return_25bps,153,-0.0005313749999370633,-0.0021254999997482532,-0.11458380205923163,0.08031832869041877,0.01880841717603379,0.25080906679764464,-0.024207751560914002,-0.2135889635558863,-0.2835795441255418,-1.3054256912506415,0.003745001220139939,0.04556018527481735,-0.2656920650737096,-2.4304851787546946,0.48101598883171337,1.7316340036328424
lgbm_no_network,fwd_ret_1m,gross_dollar_neutral_return,155,0.006844223722627593,0.08213068467153112,3.4569292569330434,0.11675111835023078,-0.005528149467255298,-0.09253514188038713,-0.239119151351746,-2.118682350380959,-0.09766930762652963,-0.7729674969207316,-0.017424160065840428,-0.36556570673974215,0.020657464948526612,0.14391151960402845,0.2684800739153991,1.544734854042272
lgbm_no_network,fwd_ret_1m,net_return_25bps,155,0.0037855689047019527,0.045426826856423436,1.92291288863755,0.11339785768611255,-0.0029552805497165147,-0.049476929100047626,-0.23636327829273024,-2.082737398990251,-0.09581099117547226,-0.7612057986482209,-0.015558671588298965,-0.3275485382836555,0.020336072273527794,0.14125796947521918,0.2645271768079399,1.5256835468695957
lgbm_no_network,fwd_ret_3m,gross_dollar_neutral_return,153,0.016530294660605176,0.0661211786424207,2.930865048178709,0.09978629834800823,-0.061154925931951556,-0.577984330250133,-0.39185366898050117,-1.7418320784676493,-0.12436508632116243,-0.5541394840653557,0.06422383487028305,0.5377023796292137,-0.16692667712776316,-0.8290974342303887,0.21342548988945548,0.667499317008446
lgbm_no_network,fwd_ret_3m,net_return_25bps,153,0.014008272060281516,0.056033088241126065,2.4928228684179414,0.09935581134437366,-0.059044873734819966,-0.5593363119618231,-0.3918937823629071,-1.7381194641386064,-0.12037037733616579,-0.5403729382677234,0.06612880808773242,0.5558657968624263,-0.16883709400456673,-0.8385464241215197,0.21292953049649282,0.6699570345328594
ridge_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.00936216954969639,0.11234603459635667,3.9958331679578123,0.14081282405573914,-0.08264759399828799,-1.3748507650665494,-0.2587910519168566,-1.7036758834691168,-0.06842105687681899,-0.4424349435829293,-0.06362955484043326,-0.8314518593846483,0.11777017935912923,0.8577563685534108,0.22728495296085124,0.9666201520279982
ridge_all,fwd_ret_1m,net_return_25bps,155,0.007056956222434199,0.08468347466921039,3.054461746516331,0.14062965100088332,-0.08123655757742966,-1.3523687530696056,-0.25680692409236106,-1.6942526655917547,-0.06987868387543134,-0.45582408552239784,-0.06288259738271648,-0.8242382402950038,0.11640876268194049,0.8464395293804133,0.23000550022190533,0.9857457287290454
ridge_all,fwd_ret_3m,gross_dollar_neutral_return,153,0.02014953885982778,0.08059815543931112,2.804296207198888,0.10492802357319053,-0.17436635308172602,-1.9801265653097924,-0.3406383684581596,-1.1812899996776198,-0.046680637725605365,-0.31954223770768353,0.1555559183823047,0.7759366325927407,-0.054320415685679045,-0.3011098196724064,0.046519254003032716,0.17998952769213458
ridge_all,fwd_ret_3m,net_return_25bps,153,0.017787353449533055,0.07114941379813222,2.4770013984711894,0.1045530675407157,-0.17302255120769128,-1.9651959888568025,-0.33813289015492365,-1.1736532923658132,-0.04781452720262183,-0.3282053103364181,0.1567191065609665,0.782919188282989,-0.05511570563605387,-0.30553141936383676,0.04849668642200054,0.18836167927824526
