model,target,oos_rows,months,rank_ic_mean,rank_ic_nw_t,spread_mean,spread_nw_t,annualized_spread_approx,r2_vs_zero,sign_hit_rate
lgbm_all,fwd_ret_1m,569596,155,0.03952848885959425,7.391126065617585,0.013958183342990815,5.244860120853335,0.16749820011588978,0.0032916056172834773,0.5201581471779998
lgbm_network_pressure,fwd_ret_1m,569596,155,0.022789939039781326,2.80177559433131,0.0038898624800083477,1.5961881521822487,0.04667834976010017,0.0019248956317563515,0.5161359981460544
lgbm_no_network,fwd_ret_1m,569596,155,0.046170480198553965,8.688859113685027,0.014148035699734092,3.7220906818611716,0.1697764283968091,0.0025170392954444454,0.522461534139987
ridge_all,fwd_ret_1m,569596,155,0.07150736279599035,9.716089959679868,0.01770882463375334,3.543002382935145,0.21250589560504007,0.002873003707335342,0.52237726388528
lgbm_all,fwd_ret_3m,555586,153,0.04894714064215827,6.473937177631991,0.028398963308011612,4.0731731775373365,0.11359585323204645,0.004191028610331049,0.5403915865410576
lgbm_network_pressure,fwd_ret_3m,555586,153,0.020497784063346524,1.8914246833260822,0.0037184139149714,0.4249243097099737,0.0148736556598856,0.0013872817317700514,0.5284780394034407
lgbm_no_network,fwd_ret_3m,555586,153,0.05935258560396841,7.791231760213953,0.03217567996124924,3.047834001154768,0.12870271984499695,0.0038574735634574475,0.5347902934919166
ridge_all,fwd_ret_3m,555586,153,0.08689933246177739,7.2778888910204325,0.03754071856575026,2.6091799567141396,0.15016287426300104,0.006941852120667447,0.5349306857984183
