model,target,regime,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
lgbm_all,fwd_ret_1m,2012_2016_early_oos,217567,60,0.04768205295523361,7.788281498956031,0.013098250674586427,4.660333386855346,0.15717900809503713,0.5375465328492409,28.658228506596288,363.15,362.15,1.8834905433651496
lgbm_all,fwd_ret_1m,2017_2019_pre_covid,122051,36,0.042388714919250864,5.86377656376188,0.014009787817502796,4.228465535137737,0.16811745381003354,0.5229348835159768,41.9240716092234,339.55555555555554,338.55555555555554,1.7125253984166526
lgbm_all,fwd_ret_1m,2020_covid,40587,12,0.010210447043490604,0.7767085782937889,-0.0041039066870882475,-0.19277405109361853,-0.049246880245058966,0.5582746745479531,11.735239314987876,338.75,337.75,-0.13053076782453088
lgbm_all,fwd_ret_1m,2021_2022_rate_hike,98365,24,0.07052543335222784,7.04166747574324,0.03283995539523062,6.1770429847774375,0.39407946474276745,0.5115450184954268,25.232378920120965,410.2916666666667,409.2916666666667,2.9500803239190625
lgbm_all,fwd_ret_1m,2023_2025_recent,91026,23,-0.00326682200631711,-0.45486009142471506,0.0048889055356356615,0.6826024145536136,0.05866686642762794,0.47599555921263126,25.238436260206637,396.2173913043478,395.2173913043478,0.4549859314417115
lgbm_all,fwd_ret_1m,all_oos,569596,155,0.03952848885959425,7.391126065617585,0.013816801796550855,5.109219151874945,0.16580162155861025,0.5225982075992635,48.12611209805889,367.98709677419356,366.98709677419356,1.139046655809685
lgbm_all,fwd_ret_3m,2012_2016_early_oos,215118,60,0.05192779263709895,7.64465922610383,0.026681238937369543,2.867780582006736,0.10672495574947817,0.5575402443602392,21.892843228054943,359.0833333333333,358.0833333333333,1.0765207431261272
lgbm_all,fwd_ret_3m,2017_2019_pre_covid,120694,36,0.03521656486317846,3.7912494149202183,0.01748380199279143,2.494108785352985,0.06993520797116572,0.5222684739714764,22.509137223737778,335.75,334.75,0.9602026334775356
lgbm_all,fwd_ret_3m,2020_covid,40243,12,-0.003180106211520565,-0.4649737928798647,-0.011931209142379018,-0.43652660571236784,-0.04772483656951607,0.6483070645464871,9.252667770840896,335.9166666666667,334.9166666666667,-0.2214420805172547
lgbm_all,fwd_ret_3m,2021_2022_rate_hike,97321,24,0.1070880540188804,8.133839799464857,0.07535603867194168,8.583547136890209,0.30142415468776673,0.5075064580828309,17.017153902607287,406.0833333333333,405.0833333333333,2.900120321421205
lgbm_all,fwd_ret_3m,2023_2025_recent,82210,21,0.02730936204928433,1.2101411210156594,0.019279604408948242,0.7641823067467556,0.07711841763579297,0.5130706885546437,25.770180571894052,391.9047619047619,390.9047619047619,0.5700493798077562
lgbm_all,fwd_ret_3m,all_oos,555586,153,0.04894714064215827,6.473937177631991,0.02810806090842241,4.03348718034693,0.11243224363368964,0.5424078689724235,33.17045797787476,363.65359477124184,362.65359477124184,0.9333777173971378
