model,target,test_year,feature,importance
lgbm_all,fwd_ret_1m,2013,z_network_degree,19.0
lgbm_all,fwd_ret_1m,2013,z_network_weighted_degree,59.0
lgbm_all,fwd_ret_1m,2013,z_network_peer_sell_pressure,37.0
lgbm_all,fwd_ret_1m,2013,z_mktcap_proxy,75.0
lgbm_all,fwd_ret_1m,2013,z_vol,74.0
lgbm_all,fwd_ret_1m,2013,z_fragility_proxy_x_stock_sell_pressure,6.0
lgbm_all,fwd_ret_1m,2013,z_fragility_proxy_x_network_peer_sell_pressure,10.0
lgbm_all,fwd_ret_1m,2013,z_owner_hhi_x_stock_sell_pressure,23.0
lgbm_all,fwd_ret_1m,2013,z_network_weighted_degree_x_network_peer_sell_pressure,8.0
lgbm_no_network,fwd_ret_1m,2013,z_owner_count,26.0
lgbm_no_network,fwd_ret_1m,2013,z_owner_hhi,9.0
lgbm_no_network,fwd_ret_1m,2013,z_top_owner_share,13.0
lgbm_no_network,fwd_ret_1m,2013,z_fragility_proxy,16.0
lgbm_no_network,fwd_ret_1m,2013,z_avg_manager_breadth,8.0
lgbm_no_network,fwd_ret_1m,2013,z_stock_sell_pressure,137.0
lgbm_no_network,fwd_ret_1m,2013,z_mktcap_proxy,59.0
lgbm_no_network,fwd_ret_1m,2013,z_vol,39.0
lgbm_no_network,fwd_ret_1m,2013,z_fragility_proxy_x_stock_sell_pressure,5.0
lgbm_no_network,fwd_ret_1m,2013,z_owner_hhi_x_stock_sell_pressure,18.0
lgbm_network_pressure,fwd_ret_1m,2013,z_stock_sell_pressure,135.0
lgbm_network_pressure,fwd_ret_1m,2013,z_network_degree,29.0
lgbm_network_pressure,fwd_ret_1m,2013,z_network_weighted_degree,103.0
lgbm_network_pressure,fwd_ret_1m,2013,z_network_peer_sell_pressure,36.0
lgbm_network_pressure,fwd_ret_1m,2013,z_fragility_proxy_x_stock_sell_pressure,12.0
lgbm_network_pressure,fwd_ret_1m,2013,z_fragility_proxy_x_network_peer_sell_pressure,6.0
lgbm_network_pressure,fwd_ret_1m,2013,z_owner_hhi_x_stock_sell_pressure,20.0
lgbm_network_pressure,fwd_ret_1m,2013,z_network_weighted_degree_x_network_peer_sell_pressure,19.0
ridge_all,fwd_ret_1m,2014,z_owner_count,0.0018034267704933882
ridge_all,fwd_ret_1m,2014,z_owner_hhi,0.0013538266066461802
