model,target,cost_bps,months,annualized_mean_return,nw_t_mean,cumulative_return,avg_turnover_abs_change
lgbm_all,fwd_ret_1m,0,155,0.0836523156251308,5.240384400148573,1.8397551153250211,1.218586556214791
lgbm_all,fwd_ret_1m,5,155,0.0763407962878421,4.791669408713046,1.585396360403613,1.218586556214791
lgbm_all,fwd_ret_1m,10,155,0.0690292769505533,4.340150947448387,1.3536808534991298,1.218586556214791
lgbm_all,fwd_ret_1m,25,155,0.0470947189386871,2.971911876932307,0.7752264137035632,1.218586556214791
lgbm_all,fwd_ret_1m,50,155,0.0105371222522434,0.6657264795427851,0.108097989117976,1.218586556214791
lgbm_all,fwd_ret_3m,0,153,0.056809120523177,4.074746916368387,7.088967223498504,0.9503929225909769
lgbm_all,fwd_ret_3m,5,153,0.0549083346779951,3.9410160348191616,6.52909586005998,0.9503929225909769
lgbm_all,fwd_ret_3m,10,153,0.0530075488328131,3.807005333138613,6.007723550231098,0.9503929225909769
lgbm_all,fwd_ret_3m,25,153,0.0473051912972673,3.4033960879714518,4.649181101915179,0.9503929225909769
lgbm_all,fwd_ret_3m,50,153,0.0378012620713575,2.726082260146752,2.9417205907979604,0.9503929225909769
lgbm_network_pressure,fwd_ret_1m,0,155,0.0232931242640597,1.5935346556316838,0.3188757822507935,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,5,155,0.016057704086185,1.1026543298611882,0.2014100576407558,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,10,155,0.0088222839083103,0.6077556673823545,0.0943399193384206,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,25,155,-0.0128839766253137,-0.8932061949072518,-0.1732456947918267,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,50,155,-0.0490610775146872,-3.399009230432344,-0.4825294906719638,1.205903362979116
lgbm_network_pressure,fwd_ret_3m,0,153,0.0074411568203429,0.4251691554221231,0.219169751893232,1.074565951695906
lgbm_network_pressure,fwd_ret_3m,5,153,0.0052920249169511,0.3020251747917701,0.1229217358040726,1.074565951695906
lgbm_network_pressure,fwd_ret_3m,10,153,0.0031428930135593,0.1791543884207258,0.0342200265867167,1.074565951695906
lgbm_network_pressure,fwd_ret_3m,25,153,-0.0033045026966161,-0.1876269371475011,-0.1922594343235664,1.074565951695906
lgbm_network_pressure,fwd_ret_3m,50,153,-0.0140501622135751,-0.7917208405274961,-0.4655213421066719,1.074565951695906
lgbm_no_network,fwd_ret_1m,0,155,0.0849073225259382,3.7230159576067767,1.8343249325341016,1.2118787491161844
lgbm_no_network,fwd_ret_1m,5,155,0.0776360500312411,3.410614023936775,1.5817354431651132,1.2118787491161844
lgbm_no_network,fwd_ret_1m,10,155,0.070364777536544,3.0968722371521165,1.3515186402163644,1.2118787491161844
lgbm_no_network,fwd_ret_1m,25,155,0.0485509600524526,2.148011127741129,0.7762565630998566,1.2118787491161844
lgbm_no_network,fwd_ret_1m,50,155,0.0121945975789671,0.5436983900036233,0.1115350738696441,1.2118787491161844
lgbm_no_network,fwd_ret_3m,0,153,0.0643624192944296,3.0475330727564733,8.76404547509988,1.0011554160105238
lgbm_no_network,fwd_ret_3m,5,153,0.0623601084624085,2.955222549471224,8.05449477991133,1.0011554160105238
lgbm_no_network,fwd_ret_3m,10,153,0.0603577976303875,2.862734167140077,7.396180793444657,1.0011554160105238
lgbm_no_network,fwd_ret_3m,25,153,0.0543508651343243,2.5842178517745595,5.693188476235148,1.0011554160105238
lgbm_no_network,fwd_ret_3m,50,153,0.0443393109742191,2.11661909493545,3.583663598912689,1.0011554160105238
ridge_all,fwd_ret_1m,0,155,0.1062647539085422,3.5419062087800404,2.680129800397083,0.9169321491320268
ridge_all,fwd_ret_1m,5,155,0.1007631610137501,3.366016116576268,2.430004127830121,0.9169321491320268
ridge_all,fwd_ret_1m,10,155,0.0952615681189579,3.189246935037533,2.196770910756554,0.9169321491320268
ridge_all,fwd_ret_1m,25,155,0.0787567894345814,2.653758475299275,1.5874631880987806,0.9169321491320268
ridge_all,fwd_ret_1m,50,155,0.0512488249606206,1.74462666603541,0.8176819697171178,0.9169321491320268
ridge_all,fwd_ret_3m,0,153,0.0750779495004769,2.6089829309251207,12.27556701261235,0.9399193453576342
ridge_all,fwd_ret_3m,5,153,0.0731981108097616,2.5440411607442224,11.368874932413233,0.9399193453576342
ridge_all,fwd_ret_3m,10,153,0.0713182721190464,2.47907117818526,10.523711874938751,0.9399193453576342
ridge_all,fwd_ret_3m,25,153,0.0656787560469005,2.283998596405242,8.31728248242193,0.9399193453576342
ridge_all,fwd_ret_3m,50,153,0.0562795625933242,1.9583755630712436,5.53357340555943,0.9399193453576342
