model,target,return_series,months,mean_period_return,nw_t_mean,annualized_mean_return,annualized_volatility,sharpe_approx,hit_rate,cumulative_return,max_drawdown,max_drawdown_peak_month,max_drawdown_trough_month,avg_turnover_abs_change,avg_turnover_one_way,avg_n_long,avg_n_short
lgbm_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.00697102630209424,5.240384400148573,0.08365231562513088,0.07284679548335218,1.1483321273102274,0.6903225806451613,1.8397551153250213,-0.1101052901601407,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.008855396159045188,3.5419062087800404,0.10626475390854226,0.09960323613319205,1.066880535552502,0.6967741935483871,2.680129800397083,-0.2819090686995306,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,gross_dollar_neutral_return,155,0.007075610210494853,3.7230159576067767,0.08490732252593823,0.08938332590889896,0.9499235082444488,0.6903225806451613,1.8343249325341016,-0.19193210699717078,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,gross_dollar_neutral_return,155,0.001941093688671645,1.5935346556316838,0.023293124264059738,0.061824836185985346,0.3767599835442815,0.5290322580645161,0.3188757822507935,-0.1353267605709112,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_0bps,155,0.00697102630209424,5.240384400148573,0.08365231562513088,0.07284679548335218,1.1483321273102274,0.6903225806451613,1.8397551153250213,-0.1101052901601407,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_0bps,155,0.008855396159045188,3.5419062087800404,0.10626475390854226,0.09960323613319205,1.066880535552502,0.6967741935483871,2.680129800397083,-0.2819090686995306,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_0bps,155,0.007075610210494853,3.7230159576067767,0.08490732252593823,0.08938332590889896,0.9499235082444488,0.6903225806451613,1.8343249325341016,-0.19193210699717078,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_0bps,155,0.001941093688671645,1.5935346556316838,0.023293124264059738,0.061824836185985346,0.3767599835442815,0.5290322580645161,0.3188757822507935,-0.1353267605709112,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_10bps,155,0.007938464009913162,3.1892469350375334,0.09526156811895795,0.09940415646999363,0.9583258034860325,0.6709677419354839,2.196770910756554,-0.28818864405621003,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_10bps,155,0.005752439745879449,4.340150947448387,0.06902927695055339,0.07280350241213729,0.948158737745635,0.6645161290322581,1.3536808534991298,-0.12053406363648622,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_10bps,155,0.005863731461378668,3.0968722371521165,0.07036477753654402,0.08935874033610357,0.7874414665189117,0.6580645161290323,1.3515186402163644,-0.20147180607012272,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_10bps,155,0.0007351903256925288,0.6077556673823545,0.008822283908310346,0.061696057915790706,0.142995909404,0.4967741935483871,0.09433991933842067,-0.15765852241336753,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
