model,target,return_series,months,mean_period_return,nw_t_mean,annualized_mean_return,annualized_volatility,sharpe_approx,hit_rate,cumulative_return,max_drawdown,max_drawdown_peak_month,max_drawdown_trough_month,avg_turnover_abs_change,avg_turnover_one_way,avg_n_long,avg_n_short,rank_by_sharpe_within_target
ridge_all,fwd_ret_1m,net_return_25bps,155,0.0065630657862151,2.653758475299275,0.0787567894345814,0.0991156266736264,0.7945950812974858,0.6516129032258065,1.5874631880987806,-0.297516278612194,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.9870967741936,366.9870967741936,1.0
lgbm_all,fwd_ret_1m,net_return_25bps,155,0.0039245599115572,2.971911876932307,0.0470947189386871,0.0727591780960758,0.6472684295100236,0.632258064516129,0.7752264137035632,-0.1359749797156771,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.9870967741936,366.9870967741936,2.0
lgbm_no_network,fwd_ret_1m,net_return_25bps,155,0.0040459133377043,2.148011127741129,0.0485509600524526,0.089336672358338,0.5434605831042161,0.6129032258064516,0.7762565630998566,-0.2208242366654295,2019-09,2020-12,1.2118787491161844,0.6059393745580922,367.9870967741936,366.9870967741936,3.0
lgbm_network_pressure,fwd_ret_1m,net_return_25bps,155,-0.0010736647187761,-0.8932061949072518,-0.0128839766253137,0.0615462682214492,-0.2093380638279479,0.432258064516129,-0.1732456947918267,-0.2295313836385347,2015-06,2024-10,1.205903362979116,0.602951681489558,367.9870967741936,366.9870967741936,4.0
lgbm_all,fwd_ret_3m,net_return_25bps,153,0.0118262978243168,3.4033960879714518,0.0473051912972673,0.0603170803490937,0.7842752172930407,0.6470588235294118,4.649181101915179,-0.185858964322746,2020-03,2020-12,0.9503929225909769,0.4751964612954884,363.6535947712418,362.6535947712418,1.0
ridge_all,fwd_ret_3m,net_return_25bps,153,0.0164196890117251,2.283998596405242,0.0656787560469005,0.1089995156930617,0.6025600722103146,0.7712418300653595,8.31728248242193,-0.6954850618376723,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.6535947712418,362.6535947712418,2.0
lgbm_no_network,fwd_ret_3m,net_return_25bps,153,0.013587716283581,2.5842178517745595,0.0543508651343243,0.091286930675454,0.5953849552413385,0.7320261437908496,5.693188476235148,-0.4920163049707391,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.6535947712418,362.6535947712418,3.0
lgbm_network_pressure,fwd_ret_3m,net_return_25bps,153,-0.000826125674154,-0.1876269371475011,-0.0033045026966161,0.0679389615889563,-0.0486392876683779,0.5555555555555556,-0.1922594343235664,-0.6461927549047368,2021-02,2024-08,1.074565951695906,0.5372829758479529,363.6535947712418,362.6535947712418,4.0
