spec,target,variable,months,mean_coef,nw_se,nw_t,coef_std,positive_month_share
univariate__owner_count,fwd_ret_1m,intercept,297,0.006527425647599222,0.003919060844100502,1.6655586394952713,0.06242936001499482,0.5791245791245792
univariate__owner_count,fwd_ret_1m,owner_count,297,0.0014622725132702645,0.0007552016566121928,1.9362676186781234,0.01148972444683036,0.6026936026936027
univariate__owner_hhi,fwd_ret_1m,intercept,297,0.004249035682550196,0.004108771436494698,1.0341377582626405,0.06275734807521177,0.5521885521885522
univariate__owner_hhi,fwd_ret_1m,owner_hhi,297,-0.007608258019329706,0.0016122892101963296,-4.718916414756161,0.02182777922895328,0.30976430976430974
univariate__top_owner_share,fwd_ret_1m,intercept,297,0.004733545151636828,0.004084120882275209,1.1590120097032568,0.0628450346885658,0.5555555555555556
univariate__top_owner_share,fwd_ret_1m,top_owner_share,297,-0.006446905356641221,0.001448737986610872,-4.450014713649423,0.02001209279939044,0.30976430976430974
univariate__fragility_proxy,fwd_ret_1m,fragility_proxy,297,-0.0014225655331077556,0.0005713214660004585,-2.489956386666931,0.00956815850643343,0.4377104377104377
univariate__fragility_proxy,fwd_ret_1m,intercept,297,0.006492138039087013,0.003876265667659836,1.6748434177904068,0.062161272302700125,0.5858585858585859
univariate__avg_manager_breadth,fwd_ret_1m,avg_manager_breadth,297,-0.0031238295471907977,0.0009251895938965827,-3.3764209712241726,0.014498066232884908,0.3468013468013468
univariate__avg_manager_breadth,fwd_ret_1m,intercept,297,0.007257992009725631,0.003760152332689556,1.9302388221421194,0.061112481435382206,0.6060606060606061
univariate__stock_sell_pressure,fwd_ret_1m,intercept,296,0.00690651694333208,0.0038069418707095443,1.8141902813044086,0.06092474646801684,0.5777027027027027
univariate__stock_sell_pressure,fwd_ret_1m,stock_sell_pressure,296,0.0006920666507560184,0.0010996238321642102,0.6293667257046771,0.022745008807952438,0.4831081081081081
univariate__network_degree,fwd_ret_1m,intercept,297,0.0035112041035724683,0.004126151185140125,0.850963512005493,0.062151207353143396,0.5555555555555556
univariate__network_degree,fwd_ret_1m,network_degree,297,0.008578672924681929,0.001552536577737883,5.525585063626294,0.024588856293748684,0.67003367003367
univariate__network_weighted_degree,fwd_ret_1m,intercept,297,0.0066404465749844935,0.0038872102839386073,1.708280769481873,0.06220917655677895,0.5791245791245792
univariate__network_weighted_degree,fwd_ret_1m,network_weighted_degree,297,0.0005945202793034727,0.0005833565065745956,1.019137135873275,0.008820483052199528,0.5858585858585859
univariate__network_peer_sell_pressure,fwd_ret_1m,intercept,296,0.007055968231448645,0.003820138685130511,1.847045045488338,0.06131328266750275,0.5878378378378378
univariate__network_peer_sell_pressure,fwd_ret_1m,network_peer_sell_pressure,296,-0.001807828574486532,0.0008223430091561535,-2.1983874786527746,0.014337551654753436,0.42567567567567566
direct_ownership_core,fwd_ret_1m,avg_manager_breadth,296,-0.0031519788421140366,0.000668055254111557,-4.718140936270063,0.012533413275638495,0.35135135135135137
direct_ownership_core,fwd_ret_1m,fragility_proxy,296,-0.0015701631289456904,0.0006850897030988114,-2.2919088140479955,0.010961922770012223,0.40202702702702703
direct_ownership_core,fwd_ret_1m,intercept,296,0.005235143533893701,0.0038485897114930684,1.3602758221433577,0.05955730165425273,0.5743243243243243
