model,target,oos_rank_ic_mean,oos_rank_ic_t_hac6,oos_annualized_spread_approx,oos_spread_t_hac6,net25_annualized_mean_return,net25_sharpe_approx,net25_nw_t_mean,net25_cumulative_return,net25_max_drawdown,factor_alpha_annualized,factor_alpha_t_hac6,factor_r2,factor_beta_mktrf,factor_beta_smb,factor_beta_hml,placebo_rank_ic_mean,placebo_rank_ic_t_hac6,placebo_annualized_spread_approx,placebo_spread_t_hac6,rank_ic_gap_actual_minus_placebo,spread_gap_actual_minus_placebo
lgbm_all,fwd_ret_1m,0.03952848885959425,7.391126065617585,0.16580162155861025,5.109219151874945,0.0470947189386871,0.6472684295100236,2.971911876932307,0.7752264137035632,-0.1359749797156771,0.0521189138887213,2.967935949838448,0.1608970548818092,-0.0475663931266806,-0.1340097401367844,-0.1449328876950411,-0.0009266132212513236,-0.5625975378637771,-0.02188176004041225,-1.3071373538801017,0.04045510208084557,0.1876833815990225
lgbm_all,fwd_ret_3m,0.04894714064215827,6.473937177631991,0.11243224363368964,4.03348718034693,0.0473051912972673,0.7842752172930407,3.4033960879714518,4.649181101915179,-0.185858964322746,0.0456418793676662,3.455919701155523,0.0681037981239102,0.0362709753134406,-0.1613499858053792,-0.0780635144156858,-0.0007394294365513569,-0.6525676662013283,-0.0020435552431183985,-0.2863876648911888,0.04968657007870963,0.11447579887680805
lgbm_network_pressure,fwd_ret_1m,0.022789939039781326,2.80177559433131,0.046471833589898794,1.5743418402987024,-0.0128839766253137,-0.2093380638279479,-0.8932061949072518,-0.1732456947918267,-0.2295313836385347,-0.0133083344370948,-0.8014076359915742,0.1106948336628361,0.0002889253524363,-0.0704407420190619,-0.1636752926464203,-0.00043166516288971194,-0.3570324265265988,-0.0039388781934124465,-0.32735757513112823,0.02322160420267104,0.05041071178331124
lgbm_network_pressure,fwd_ret_3m,0.020497784063346524,1.8914246833260822,0.013507052937691893,0.3863648465045307,-0.0033045026966161,-0.0486392876683779,-0.1876269371475011,-0.1922594343235664,-0.6461927549047368,-0.0021254999997482,-0.1145838020592316,0.0803183286904187,0.0188084171760337,-0.024207751560914,-0.2835795441255418,0.0007334521226767324,0.7674163460093053,-0.01466076468474538,-2.1841117155074756,0.01976433194066979,0.028167817622437273
lgbm_no_network,fwd_ret_1m,0.046170480198553965,8.688859113685027,0.16813103256407844,3.66796942691861,0.0485509600524526,0.5434605831042161,2.148011127741129,0.7762565630998566,-0.2208242366654295,0.0454268268564234,1.92291288863755,0.1133978576861125,-0.0029552805497165,-0.2363632782927302,-0.0958109911754722,-0.0002060458701149516,-0.1740666094859417,-0.0026392720314935047,-0.2494301582036058,0.04637652606866892,0.17077030459557194
lgbm_no_network,fwd_ret_3m,0.05935258560396841,7.791231760213953,0.1286247356219805,3.047772322134396,0.0543508651343243,0.5953849552413385,2.5842178517745595,5.693188476235148,-0.4920163049707391,0.056033088241126,2.492822868417941,0.0993558113443736,-0.0590448737348199,-0.3918937823629071,-0.1203703773361657,-0.0007591663281634349,-0.563122837118623,0.009541550079052656,1.2445051963148082,0.06011175193213184,0.11908318554292785
ridge_all,fwd_ret_1m,0.07150736279599035,9.716089959679868,0.21252950781708457,3.5419062087800413,0.0787567894345814,0.7945950812974858,2.653758475299275,1.5874631880987806,-0.297516278612194,0.0846834746692103,3.054461746516331,0.1406296510008833,-0.0812365575774296,-0.256806924092361,-0.0698786838754313,0.0006136901696089388,0.43755409045710736,-0.004860653772283793,-0.4133613637417288,0.07089367262638141,0.21739016158936836
ridge_all,fwd_ret_3m,0.08689933246177739,7.2778888910204325,0.15015589900095389,2.6089829309251216,0.0656787560469005,0.6025600722103146,2.283998596405242,8.31728248242193,-0.6954850618376723,0.0711494137981322,2.4770013984711894,0.1045530675407157,-0.1730225512076912,-0.3381328901549236,-0.0478145272026218,0.002195420881731278,1.9646201105880499,0.0105187933989153,1.50931243045981,0.08470391158004612,0.1396371056020386
