model,target,cost_bps,months,annualized_mean_return,nw_t_mean,cumulative_return,avg_turnover_abs_change
lgbm_all,fwd_ret_1m,0,155,0.08365231562513088,5.240384400148573,1.8397551153250213,1.218586556214791
lgbm_all,fwd_ret_1m,5,155,0.07634079628784213,4.791669408713046,1.585396360403613,1.218586556214791
lgbm_all,fwd_ret_1m,10,155,0.06902927695055339,4.340150947448387,1.3536808534991298,1.218586556214791
lgbm_all,fwd_ret_1m,25,155,0.04709471893868715,2.971911876932307,0.7752264137035632,1.218586556214791
lgbm_all,fwd_ret_1m,50,155,0.010537122252243424,0.6657264795427851,0.10809798911797608,1.218586556214791
lgbm_all,fwd_ret_3m,0,153,0.05680912052317709,4.074746916368387,7.0889672234985035,0.9503929225909769
lgbm_all,fwd_ret_3m,5,153,0.054908334677995135,3.9410160348191616,6.52909586005998,0.9503929225909769
lgbm_all,fwd_ret_3m,10,153,0.05300754883281319,3.8070053331386133,6.007723550231098,0.9503929225909769
lgbm_all,fwd_ret_3m,25,153,0.04730519129726731,3.4033960879714513,4.649181101915179,0.9503929225909769
lgbm_all,fwd_ret_3m,50,153,0.037801262071357554,2.726082260146752,2.9417205907979604,0.9503929225909769
lgbm_network_pressure,fwd_ret_1m,0,155,0.023293124264059738,1.5935346556316838,0.3188757822507935,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,5,155,0.01605770408618504,1.1026543298611882,0.2014100576407558,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,10,155,0.008822283908310346,0.6077556673823545,0.09433991933842067,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,25,155,-0.01288397662531374,-0.8932061949072518,-0.17324569479182672,1.205903362979116
lgbm_network_pressure,fwd_ret_1m,50,155,-0.04906107751468722,-3.399009230432344,-0.4825294906719638,1.205903362979116
lgbm_network_pressure,fwd_ret_3m,0,153,0.007441156820342926,0.42516915542212314,0.21916975189323207,1.0745659516959059
lgbm_network_pressure,fwd_ret_3m,5,153,0.005292024916951117,0.3020251747917701,0.12292173580407262,1.0745659516959059
lgbm_network_pressure,fwd_ret_3m,10,153,0.003142893013559307,0.17915438842072584,0.034220026586716745,1.0745659516959059
lgbm_network_pressure,fwd_ret_3m,25,153,-0.003304502696616127,-0.18762693714750117,-0.1922594343235664,1.0745659516959059
lgbm_network_pressure,fwd_ret_3m,50,153,-0.014050162213575187,-0.7917208405274961,-0.46552134210667195,1.0745659516959059
lgbm_no_network,fwd_ret_1m,0,155,0.08490732252593823,3.7230159576067767,1.8343249325341016,1.2118787491161844
lgbm_no_network,fwd_ret_1m,5,155,0.0776360500312411,3.410614023936775,1.5817354431651132,1.2118787491161844
lgbm_no_network,fwd_ret_1m,10,155,0.07036477753654402,3.0968722371521165,1.3515186402163644,1.2118787491161844
lgbm_no_network,fwd_ret_1m,25,155,0.048550960052452685,2.148011127741129,0.7762565630998566,1.2118787491161844
lgbm_no_network,fwd_ret_1m,50,155,0.012194597578967152,0.5436983900036233,0.11153507386964412,1.2118787491161844
lgbm_no_network,fwd_ret_3m,0,153,0.06436241929442962,3.0475330727564733,8.76404547509988,1.0011554160105238
lgbm_no_network,fwd_ret_3m,5,153,0.06236010846240858,2.9552225494712236,8.05449477991133,1.0011554160105238
lgbm_no_network,fwd_ret_3m,10,153,0.06035779763038755,2.862734167140077,7.396180793444657,1.0011554160105238
lgbm_no_network,fwd_ret_3m,25,153,0.05435086513432438,2.5842178517745595,5.6931884762351475,1.0011554160105238
lgbm_no_network,fwd_ret_3m,50,153,0.04433931097421915,2.11661909493545,3.583663598912689,1.0011554160105238
ridge_all,fwd_ret_1m,0,155,0.10626475390854226,3.5419062087800404,2.680129800397083,0.9169321491320268
ridge_all,fwd_ret_1m,5,155,0.1007631610137501,3.366016116576268,2.430004127830121,0.9169321491320268
ridge_all,fwd_ret_1m,10,155,0.09526156811895795,3.1892469350375334,2.196770910756554,0.9169321491320268
ridge_all,fwd_ret_1m,25,155,0.07875678943458146,2.653758475299275,1.5874631880987806,0.9169321491320268
ridge_all,fwd_ret_1m,50,155,0.05124882496062065,1.74462666603541,0.8176819697171178,0.9169321491320268
ridge_all,fwd_ret_3m,0,153,0.07507794950047693,2.6089829309251207,12.27556701261235,0.9399193453576342
ridge_all,fwd_ret_3m,5,153,0.07319811080976169,2.5440411607442224,11.368874932413231,0.9399193453576342
ridge_all,fwd_ret_3m,10,153,0.0713182721190464,2.47907117818526,10.523711874938751,0.9399193453576342
ridge_all,fwd_ret_3m,25,153,0.06567875604690059,2.283998596405242,8.31728248242193,0.9399193453576342
ridge_all,fwd_ret_3m,50,153,0.05627956259332425,1.9583755630712434,5.53357340555943,0.9399193453576342
